"REF_DATE","GEO","DGUID","Institution type","International Standard Classification of Education (ISCED)","Field of study","Gender","Status of student in Canada","Selected statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54454410","1.2.5.10.1.2.1","14436","","","","0"
"2016","Canada","2016A000011124","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54454410","1.2.5.10.1.2.1","14955","","","","0"
"2017","Canada","2016A000011124","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54454410","1.2.5.10.1.2.1","15876","","","","0"
"2015","Newfoundland and Labrador","2016A000210","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54470295","2.2.5.10.1.2.1","240","","","","0"
"2016","Newfoundland and Labrador","2016A000210","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54470295","2.2.5.10.1.2.1","246","","","","0"
"2017","Newfoundland and Labrador","2016A000210","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54470295","2.2.5.10.1.2.1","267","","","","0"
"2015","Prince Edward Island","2016A000211","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v108936520","3.2.5.10.1.2.1","0","","","","0"
"2017","Prince Edward Island","2016A000211","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v108936520","3.2.5.10.1.2.1","6","","","","0"
"2015","Nova Scotia","2016A000212","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54476365","4.2.5.10.1.2.1","405","","","","0"
"2016","Nova Scotia","2016A000212","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54476365","4.2.5.10.1.2.1","465","","","","0"
"2017","Nova Scotia","2016A000212","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54476365","4.2.5.10.1.2.1","471","","","","0"
"2015","New Brunswick","2016A000213","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54480032","5.2.5.10.1.2.1","240","","","","0"
"2016","New Brunswick","2016A000213","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54480032","5.2.5.10.1.2.1","282","","","","0"
"2017","New Brunswick","2016A000213","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54480032","5.2.5.10.1.2.1","282","","","","0"
"2015","Quebec","2016A000224","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v101869322","6.2.5.10.1.2.1","4020","","","","0"
"2016","Quebec","2016A000224","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v101869322","6.2.5.10.1.2.1","4101","","","","0"
"2017","Quebec","2016A000224","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v101869322","6.2.5.10.1.2.1","4206","","","","0"
"2015","Ontario","2016A000235","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54489141","7.2.5.10.1.2.1","6384","","","","0"
"2016","Ontario","2016A000235","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54489141","7.2.5.10.1.2.1","6726","","","","0"
"2017","Ontario","2016A000235","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54489141","7.2.5.10.1.2.1","7296","","","","0"
"2015","Manitoba","2016A000246","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v108985867","8.2.5.10.1.2.1","261","","","","0"
"2016","Manitoba","2016A000246","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v108985867","8.2.5.10.1.2.1","309","","","","0"
"2017","Manitoba","2016A000246","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v108985867","8.2.5.10.1.2.1","345","","","","0"
"2015","Saskatchewan","2016A000247","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54497162","9.2.5.10.1.2.1","405","","","","0"
"2016","Saskatchewan","2016A000247","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54497162","9.2.5.10.1.2.1","366","","","","0"
"2017","Saskatchewan","2016A000247","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54497162","9.2.5.10.1.2.1","414","","","","0"
"2015","Alberta","2016A000248","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v65206110","10.2.5.10.1.2.1","1239","","","","0"
"2016","Alberta","2016A000248","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v65206110","10.2.5.10.1.2.1","1257","","","","0"
"2017","Alberta","2016A000248","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v65206110","10.2.5.10.1.2.1","1305","","","","0"
"2015","British Columbia","2016A000259","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54464475","11.2.5.10.1.2.1","1242","","","","0"
"2016","British Columbia","2016A000259","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54464475","11.2.5.10.1.2.1","1200","","","","0"
"2017","British Columbia","2016A000259","University","Bachelor's or equivalent","Architecture, engineering and related technologies [8]","Total, gender","Canadian students","Number","Number","223","units","0","v54464475","11.2.5.10.1.2.1","1284","","","","0"


