"REF_DATE","GEO","DGUID","Institution type","International Standard Classification of Education (ISCED)","Field of study","Gender","Status of student in Canada","Selected statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54454422","1.2.5.11.1.2.1","2676","","","","0"
"2016","Canada","2016A000011124","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54454422","1.2.5.11.1.2.1","2754","","","","0"
"2017","Canada","2016A000011124","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54454422","1.2.5.11.1.2.1","2928","","","","0"
"2015","Newfoundland and Labrador","2016A000210","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108925139","2.2.5.11.1.2.1","9","","","","0"
"2016","Newfoundland and Labrador","2016A000210","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108925139","2.2.5.11.1.2.1","9","","","","0"
"2017","Newfoundland and Labrador","2016A000210","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108925139","2.2.5.11.1.2.1","12","","","","0"
"2015","Prince Edward Island","2016A000211","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108936536","3.2.5.11.1.2.1","6","","","","0"
"2016","Prince Edward Island","2016A000211","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108936536","3.2.5.11.1.2.1","6","","","","0"
"2017","Prince Edward Island","2016A000211","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108936536","3.2.5.11.1.2.1","9","","","","0"
"2015","Nova Scotia","2016A000212","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54476377","4.2.5.11.1.2.1","144","","","","0"
"2016","Nova Scotia","2016A000212","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54476377","4.2.5.11.1.2.1","165","","","","0"
"2017","Nova Scotia","2016A000212","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54476377","4.2.5.11.1.2.1","180","","","","0"
"2015","New Brunswick","2016A000213","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108957583","5.2.5.11.1.2.1","39","","","","0"
"2016","New Brunswick","2016A000213","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108957583","5.2.5.11.1.2.1","48","","","","0"
"2017","New Brunswick","2016A000213","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108957583","5.2.5.11.1.2.1","57","","","","0"
"2015","Quebec","2016A000224","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54484554","6.2.5.11.1.2.1","456","","","","0"
"2016","Quebec","2016A000224","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54484554","6.2.5.11.1.2.1","420","","","","0"
"2017","Quebec","2016A000224","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54484554","6.2.5.11.1.2.1","519","","","","0"
"2015","Ontario","2016A000235","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54489153","7.2.5.11.1.2.1","1224","","","","0"
"2016","Ontario","2016A000235","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54489153","7.2.5.11.1.2.1","1179","","","","0"
"2017","Ontario","2016A000235","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54489153","7.2.5.11.1.2.1","1197","","","","0"
"2015","Manitoba","2016A000246","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108985883","8.2.5.11.1.2.1","138","","","","0"
"2016","Manitoba","2016A000246","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108985883","8.2.5.11.1.2.1","144","","","","0"
"2017","Manitoba","2016A000246","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v108985883","8.2.5.11.1.2.1","180","","","","0"
"2015","Saskatchewan","2016A000247","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54497171","9.2.5.11.1.2.1","141","","","","0"
"2016","Saskatchewan","2016A000247","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54497171","9.2.5.11.1.2.1","180","","","","0"
"2017","Saskatchewan","2016A000247","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54497171","9.2.5.11.1.2.1","168","","","","0"
"2015","Alberta","2016A000248","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v109006099","10.2.5.11.1.2.1","228","","","","0"
"2016","Alberta","2016A000248","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v109006099","10.2.5.11.1.2.1","267","","","","0"
"2017","Alberta","2016A000248","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v109006099","10.2.5.11.1.2.1","270","","","","0"
"2015","British Columbia","2016A000259","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54464484","11.2.5.11.1.2.1","291","","","","0"
"2016","British Columbia","2016A000259","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54464484","11.2.5.11.1.2.1","333","","","","0"
"2017","British Columbia","2016A000259","University","Bachelor's or equivalent","Agriculture, natural resources and conservation [9]","Total, gender","Canadian students","Number","Number","223","units","0","v54464484","11.2.5.11.1.2.1","333","","","","0"


