REF_DATE,GEO,DGUID,Institution type,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,Newfoundland and Labrador,2016A000210,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108925140,2.2.5.11.1.3.1,0,,,,0
2016,Newfoundland and Labrador,2016A000210,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108925140,2.2.5.11.1.3.1,6,,,,0
2017,Newfoundland and Labrador,2016A000210,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108925140,2.2.5.11.1.3.1,0,,,,0
2015,Nova Scotia,2016A000212,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108947589,4.2.5.11.1.3.1,48,,,,0
2016,Nova Scotia,2016A000212,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108947589,4.2.5.11.1.3.1,54,,,,0
2017,Nova Scotia,2016A000212,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108947589,4.2.5.11.1.3.1,54,,,,0
2015,New Brunswick,2016A000213,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108957584,5.2.5.11.1.3.1,,..,,,0
2016,New Brunswick,2016A000213,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108957584,5.2.5.11.1.3.1,3,,,,0
2017,New Brunswick,2016A000213,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108957584,5.2.5.11.1.3.1,0,,,,0
2015,Quebec,2016A000224,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108914307,6.2.5.11.1.3.1,66,,,,0
2016,Quebec,2016A000224,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108914307,6.2.5.11.1.3.1,66,,,,0
2017,Quebec,2016A000224,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108914307,6.2.5.11.1.3.1,57,,,,0
2015,Ontario,2016A000235,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54489154,7.2.5.11.1.3.1,75,,,,0
2016,Ontario,2016A000235,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54489154,7.2.5.11.1.3.1,99,,,,0
2017,Ontario,2016A000235,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54489154,7.2.5.11.1.3.1,111,,,,0
2015,Manitoba,2016A000246,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108985884,8.2.5.11.1.3.1,30,,,,0
2016,Manitoba,2016A000246,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108985884,8.2.5.11.1.3.1,45,,,,0
2017,Manitoba,2016A000246,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v108985884,8.2.5.11.1.3.1,60,,,,0
2015,Saskatchewan,2016A000247,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54497172,9.2.5.11.1.3.1,9,,,,0
2016,Saskatchewan,2016A000247,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54497172,9.2.5.11.1.3.1,15,,,,0
2017,Saskatchewan,2016A000247,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54497172,9.2.5.11.1.3.1,15,,,,0
2015,Alberta,2016A000248,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v109006100,10.2.5.11.1.3.1,51,,,,0
2016,Alberta,2016A000248,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v109006100,10.2.5.11.1.3.1,42,,,,0
2017,Alberta,2016A000248,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v109006100,10.2.5.11.1.3.1,30,,,,0
2015,British Columbia,2016A000259,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54464485,11.2.5.11.1.3.1,33,,,,0
2016,British Columbia,2016A000259,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54464485,11.2.5.11.1.3.1,66,,,,0
2017,British Columbia,2016A000259,University,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]","Total, gender",International students,Number,Number,223,units,0,v54464485,11.2.5.11.1.3.1,96,,,,0
