"﻿""REF_DATE""",GEO,DGUID,Institution type,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Newfoundland and Labrador,2016A000210,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v108925124,2.2.5.9.1.3.1,9,,,,0
2016,Prince Edward Island,2016A000211,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v91621354,3.2.5.9.1.3.1,9,,,,0
2016,Nova Scotia,2016A000212,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v54476471,4.2.5.9.1.3.1,66,,,,0
2016,New Brunswick,2016A000213,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v54480131,5.2.5.9.1.3.1,21,,,,0
2016,Quebec,2016A000224,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v91621693,6.2.5.9.1.3.1,105,,,,0
2016,Ontario,2016A000235,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v54489258,7.2.5.9.1.3.1,687,,,,0
2016,Manitoba,2016A000246,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v108985852,8.2.5.9.1.3.1,39,,,,0
2016,Saskatchewan,2016A000247,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v54497265,9.2.5.9.1.3.1,12,,,,0
2016,Alberta,2016A000248,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v109006081,10.2.5.9.1.3.1,123,,,,0
2016,British Columbia,2016A000259,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",International students,Number,Number,223,units,0,v54464590,11.2.5.9.1.3.1,279,,,,0
